Trope,Description,Inverted?/Defied?,Averted/Subverted?,Rough Occurence in movie,book_movie_weirdness,Background?,sig_scene,Setups?,Start Time,End Time,Total Time
Lancer vs. Dragon," Though Aragorn isn't the main hero and Lurtz isn't the main villain, their intense fight is the climax of the film.",,,,,,ARAGORN-LURTZ FIGHT,,11445,11492,
Throwing Your Shield Always Works," Lurtz throws his shield at Aragorn during the skirmish at Amon Hen, pinning him to a tree. Aragorn gets free of the shield just in time to dodge another attack.",,,,,,ARAGORN-LURTZ FIGHT,,11450,11451,
Shield Bash, The Uruk-Hai captain tried to use his shield against Aragorn in the final battle.,,,,,,ARAGORN-LURTZ FIGHT,,11450,11451,
Shout-Out,"During the duel between Aragorn and Lurtz, Aragorn stabs Lurtz through the leg with his dagger, and it gets stuck there until Lurtz pulls it out and tosses it back at him. A similar scene happens in Friday the 13th Part III , when Chris attacks Jason with a knife.",,,,,,ARAGORN-LURTZ FIGHT,,11460,11476,
Lodged-Blade Recycling,Lurtz pulls Aragorn's knife out and throws it back at him --- but only after licking it .,,,,,,ARAGORN-LURTZ FIGHT,,11476,11477,
Blood from the Mouth," When Aragorn is fighting Lurtz, the orc headbutts him in the face and his mouth is bleeding afterward.",,,,,,ARAGORN-LURTZ FIGHT,,11473,11476,
Parrying Bullets," Aragorn performs an era-appropriate variation when he uses his sword to swat aside a knife flying towards his head. Impressively, there's no CGI involved in the stunt; Viggo Mortensen actually parried a knife accidentally thrown at his face by the other actor.",,,,,,ARAGORN-LURTZ FIGHT,,11476,11477,
Literal Disarming," Aragorn does this to Lurtz, followed by stabbing him through the chest and finally decapitating him . Lurtz didn't die until that last one.",,,,,,ARAGORN-LURTZ FIGHT,,11483,11484,
Deliberate Injury Gambit," In a villainous version, the Uruk-Hai leader is impaled on Aragorn's sword, and pulls himself up the blade to get up in his face and snarl. ",,,,,,ARAGORN-LURTZ FIGHT,,11487,11490,
Pull Yourself Down the Spear," When Aragorn stabs Lurtz in the stomach, the Uruk-hai responds by pulling the sword inwards, snarling at Aragorn, possibly to get close enough to hurt him. ",,,,,,ARAGORN-LURTZ FIGHT,,11487,11490,
Off with His Head!,Aragorn finishes Lurtz off by cutting off his head.,,,,,,ARAGORN-LURTZ FIGHT,,11491,11492,
Undeathly Pallor," In the film commentary, Peter Jackson discusses how Boromir's skin was paled just a little bit at the moment he succumbs to his wounds and dies. The change is so subtle that most viewers might not consciously pick it up, yet still provides his death scene a little extra punch.",,,,,,BOROMIR REDEEMS,,11502,11610,
Inverse Dialogue/Death Rule," Boromir takes forever to be killed (arrow after arrow, and overcranked as well), complete with a speech to Aragorn after the latter just had a big duel with the chief Uruk-Hai.",,,,,Counted as his dying dialogue scene.,BOROMIR REDEEMS,,11502,11610,
Final Speech," While Boromir had some last dying words in the book, they really spice it up in the film, especially with Boromir's last line to Aragorn: ""My brother, my captain, my king"".",,,,,,BOROMIR REDEEMS,,11502,11604,
Manly Tears," Boromir 's Final Speech : Boromir : I would have gone with you to the end, my brother... my captain... my king. ",,,,,,BOROMIR REDEEMS,,11652,11653,
It Has Been an Honour," Boromir's last words to Aragorn. Boromir: I would have followed you, my brother... my captain... my king .",,,,,,BOROMIR REDEEMS,,11593,11604,
Final Speech,"al Speech : Boromir : I would have gone with you to the end, my brother... my captain... my king.",,,,,,BOROMIR REDEEMS,,11593,11604,
Last Kiss, Aragorn gave a dying Boromir a kiss on the forehead as part of a blessing.,,,,,,BOROMIR REDEEMS,,11631,11632,
Single Tear," Aragorn drops a tear when Boromir dies; Manly Tears , indeed.",,,,,,BOROMIR REDEEMS,,11652,11653,
Viking Funeral, One of the last scenes shows Boromir's body laid out in a boat and drifting over the waterfall of the Anduin.,,,,,,BOROMIR REDEEMS,,11871,11883,
Adaptational Context Change,"Sam says the exact same line to Frodo at the end of both the book and movie: ""Of course you are, and I'm coming with you!"" In the book, Frodo has just said, ""But I am going to Mordor!"", but in the movie the line is changed to ""I'm going to Mordor alone!"", which makes Sam's response a lot more humorous.",,,,x,,BROKEN FELLOWSHIP,,11767,11770,
Solo Mission Becomes Group Mission," Despite Frodo insisting to go alone in his mission, Sam ends up going with him: Frodo: Go back, Sam! I'm going to Mordor alone. Sam: Of course you are, and I'm coming with you!",,,,,,BROKEN FELLOWSHIP,,11767,11770,
Hollywood Drowning, Averted. Sam's near-drowning occurs without much flailing or noise. Frodo knows he's drowning because he knows Sam can't swim.,,yes,,,,BROKEN FELLOWSHIP,,11775,11809,
Symbolic Serene Submersion," At the end of the movie, Sam follows Frodo's boat into the water despite being unable to swim, desperate to remain by his side. When he inevitably goes underwater, he flails at first, but then he goes limp and his face assumes a serene expression, demonstrating his willingness to die for Frodo (who saves him, of course).",,,,,,BROKEN FELLOWSHIP,,11790,11809,
Take My Hand!, Frodo saves Sam from drowning by pulling him up by his wrist.,,,,,,BROKEN FELLOWSHIP,,11809,11813,
Break His Heart to Save Him," Frodo tries to set off on his own, knowing his quest to Mordor will probably kill him and hoping the others will find a safer way to help save the world. Even when Sam catches up to him, Frodo first refuses to look at him and then explicitly commands him to return to shore. Sam ignores him, and Frodo ends up having to save him from drowning. Afterwards, he gratefully accepts that there's no way he's getting rid of him.",,,,,,BROKEN FELLOWSHIP,,11752,11809,
Meaningful Echo," The tune from ""Concerning Hobbits"" (the piece that plays as the Shire is introduced) appears at the end of the movie in "" The Breaking of the Fellowship "".",,,,,,BROKEN FELLOWSHIP,,11844,11870,
Man Hug," Frodo and Sam share a big, tearful hug after Sam risks drowning to accompany Frodo to Mordor.",,,,,,BROKEN FELLOWSHIP,,11844,11855,
Sequel Hook," A particularly nasty yet uplifting one. Immediately following Boromir's fall, Frodo and Sam trudge off on their own path while Merry and Pippin were plucked away by the Uruk-hai in the final battle, leaving Aragorn, Legolas and Gimli to start the hunt to save the latter pair of Hobbits while the former head into Mordor all by themselves. As the establishing part of the trilogy, cue the credits and, at the time of release, waiting until next year or reading the book to see what happened next.",,,,,,BROKEN FELLOWSHIP,,11904,11955,
Breaking the Fellowship," The Trope Namer. Not all members of the fellowship meet together again, since one of them dies and one is irrevocably transformed in the interim. They manage eight of the original nine. Legolas: Hurry! Frodo and Sam have reached the eastern shore. [Aragorn stands still and says nothing.] Legolas: You mean not to follow them? Aragorn: Frodo's fate is no longer in our hands. Gimli: Then it has all been in vain! The Fellowship has failed. Aragorn: Not if we hold true to each other. We will not abandon Merry and Pippin to torment and death. Not while we have strength left.",,,,,Fuzzy when exactly this happens. Set to: Aragorn saying 'Frodo's fate is no longer in our hands.',BROKEN FELLOWSHIP,,11911,11912,
Downer Ending," The Fellowship breaks in the end. Gandalf falls to his apparent doom, Boromir is killed, and Frodo and Sam have to journey into Mordor alone while Aragorn, Gimli and Legolas have to save Merry and Pippin from Saruman's Uruk-Hai.",,,,,,BROKEN FELLOWSHIP,,11955,11956,
Meaningful Echo," The tune from ""Concerning Hobbits"" (the piece that plays as the Shire is introduced) appears at the end of the movie in "" The Breaking of the Fellowship "".",,,,,,BROKEN FELLOWSHIP,,12005,12027,
Creative Closing Credits, They contain the names of every single member of the Tolkien fan club in the special edition.,,,,,,CREDITS,,12438,13670,
Solemn Ending Theme," Enya's ""May It Be"" , which has a (relatively) hopeful, hymnlike quality.",,,,,,CREDITS,,12066,12270,
Award-Bait Song," The films have two sad examples: ""May It Be"". ""May it Be"" was nominated for an Oscar.",,,,,,CREDITS,,12066,12270,
Award-Bait Song," The films have two sad examples: ""In Dreams"".",,,,,,CREDITS,,12272,12494,
,,,,,,,,,0,0,
,,,,,,,,,0,0,
,,,,,,,,,0,0,
Forced Perspective, Used to great effect to help the average-height actors playing hobbits and dwarves seem to-scale with their man and elf co-stars. ,,,,,not enough info or occurs throughout,,,0,0,
Digital Head Swap, One of the techniques used to create the proper scale for the Hobbits.,,,,,not enough info or occurs throughout,,,0,0,
Deathly Dies Irae,Also reoccurs as part of the motif for the forces of Isengard.,,,,,not enough info ,,,0,0,
Poor Communication Kills," Zigzagged when Gandalf realizes Gollum's followed them into Moria. He doesn't inform anyone else in the Fellowship for 3 days (likely because, given what else was down in Moria, an insane former Ringbearer was the least of their problems). If Frodo hadn't spotted Gollum by chance and reported it, the Fellowship would've remained unaware they were being trailed (since Gandalf would have taken that knowledge with him when he falls into the chasm ). But because Frodo sounded the alarm, Aragorn's now vigilant in the Extended Editon (and hoped they'd lose Gollum on the Anduin River). Frodo and Sam are also likewise now on their guard after they split off at the end of this film and this vigilance allows them to capture Gollum at the beginning of the next film .",,,,,Fuzzy: set to when Frodo first sees Gollum. Long duration.,MORIA,,7626,0,
Title Drop,"On entering Hobbiton, Gandalf is delighted to see preparations underway for ""A Long-Expected Party"". When Lobelia Sackville-Baggins comes knocking on the front door of Bag End, Bilbo whispers to Gandalf ""I am not at home !"". ",,,,,Not sure about the first or second mention in the description; this trope was parsed out of a larger Title Drop description.,SHIRE,,0,0,
Bow and Sword in Accord," Aragorn uses both bow and sword, but he usually uses the bow only to open battle, staying in melee once it opens. ",,,,,not enough info or occurs throughout,,,0,0,
Fire-Forged Friends," Gimli and Legolas probably count as Trope Codifiers. They openly hate each other at their first meeting (Gimli: ""Never trust an elf!""), but by the end of the final film, they are inseparable. (Excerpt from The Return of the King ) Gimli: Never thought I'd die fighting side by side with an Elf. Legolas: What about side by side with a friend? Gimli: ...aye. I could do that.",,,,,AF: doesnÕt happen until movies 2-3,,,0,0,
Never Found the Body," Gandalf's fall. He actually dies though, but not because of the fall, and, as he is a Maia (angelic spirit), he is brought Back from the Dead by his employers anyway.",,,,,AF: unsure this really applies,,,0,0,
Fanfare, The fellowship theme.,,,,,not enough info or occurs throughout,,,0,0,
Pragmatic Adaptation, The removal of Tom Bombadil.,,,,x,,,,0,0,
Adapted Out," Tom Bombadil and his wife Goldberry, together with the Hobbits' entire ""Old Forest"" adventure. Glorfindel's role of rescuing Frodo from the Nazgul and bringing him to Rivendell is given to Arwen. The Scouring of the Shire is absent from the films' canon, instead shown as a Bad Future .",,,,x,,,,0,0,
Adaptation Dye-Job," Boromir in is described as having dark hair. For the movies they gave him light brown, bordering on blond. note In the books, Boromir looks a lot like Aragorn (they're related). The director probably felt that this would look confusing on film. The elves of Lothlorien are shown to be uniformly blonde, though only elves with particularly strong Vanyar ancestry, such as Galadriel, have blonde hair in the books.",,,,x,,,,0,0,
Adaptation Explanation Extrication," Tom Bombadil is cut from the film, along with the scene with where he rescues the hobbits from the Barrow-wights and takes their enchanted daggers which Merry uses to slay the Witch-king . Here, he uses an Elven dagger gifted by Galadriel which is never truly hinted or explained whether it's effective against the Witch-king of Angmar unless it's enchanted in a similar way with the books counterpart. Then again, it's a gift of Galadriel . Gandalf stops at Rohan in the first book before going to Rivendell, attempting to warn Theoden about Saruman's FaceâHeel Turn --- but Grima Wormtongue has already started poisoning his mind. This is eliminated from the film, so it's not explained how Gandalf is so up-to-date on what's been happening in Rohan.",,,,x,not enough info or occurs throughout,,,0,0,
Confusing Multiple Negatives," A botched translation of the movie has Saruman claim ""He can't not yet take physical form"" when referring to Sauron . The creator of the website showing the botched translation baffled over what the double negative meant before promptly giving up.",,,,,not enough info or occurs throughout,,,0,0,
Creator Cameo,"The hellish screeching noises made by the Ringwraiths were delivered by Fran Walsh, co-writer, producer, and Peter Jackson's partner.",,,,,not enough info or occurs throughout,,,0,0,
Early-Bird Cameo," Inverted. Rohan appears briefly in the first book, establishing that the nation will enter the plot in the second. ",yes,,,x,,,,0,0,
